time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-04-01T20:21:00Z;7;233.05;698.10;6.21;4.92;30.49;70.09;5.66;2.96;0.20;1015.90;63.20;4.30;102.00;0.80;
2022-04-01T20:36:00Z;7;222.30;696.48;6.35;3.14;30.55;67.35;6.66;3.77;0.41;1016.00;63.40;4.20;88.00;0.70;
2022-04-01T20:22:00Z;7;226.25;703.99;6.21;4.92;32.26;68.69;5.66;2.96;0.20;1016.00;62.90;4.30;89.00;0.70;
2022-04-01T20:23:00Z;7;223.51;698.17;6.28;4.92;32.26;68.69;5.66;2.96;0.20;1016.00;63.30;4.30;93.00;0.60;
2022-04-01T20:24:00Z;7;223.51;694.29;6.28;4.33;34.02;68.69;4.66;2.14;0.20;1016.00;63.50;4.30;88.00;0.50;
2022-04-01T20:25:00Z;7;227.57;698.10;6.28;4.33;34.00;68.67;8.65;4.59;0.20;1015.90;63.10;4.30;117.00;1.00;
2022-04-01T20:26:00Z;7;230.36;703.99;6.28;4.33;32.26;70.11;5.66;2.14;0.20;1016.00;63.90;4.30;64.00;0.20;
2022-04-01T20:27:00Z;7;230.40;688.54;6.28;5.51;32.27;70.13;4.66;2.14;0.20;1016.10;63.60;4.30;84.00;0.50;
2022-04-01T20:28:00Z;7;228.99;694.29;6.21;3.74;34.02;67.28;5.66;2.96;0.41;1016.00;63.40;4.30;66.00;0.40;
2022-04-01T20:29:00Z;7;231.73;686.54;6.21;5.51;34.02;65.86;6.66;3.77;0.41;1016.00;63.90;4.30;88.00;0.40;
2022-04-01T20:30:00Z;7;234.68;698.49;6.21;7.29;32.31;64.54;6.66;3.77;0.41;1016.10;63.10;4.20;115.00;1.00;
2022-04-01T20:31:00Z;7;231.90;702.31;6.28;6.10;30.55;65.94;5.66;2.96;0.41;1016.00;63.50;4.20;101.00;0.70;
2022-04-01T20:32:00Z;7;228.99;686.54;6.35;4.33;30.50;65.86;5.66;2.96;0.41;1016.00;63.70;4.30;75.00;0.40;
2022-04-01T20:33:00Z;7;229.20;696.55;6.35;4.32;30.56;65.96;6.66;2.96;0.41;1016.10;63.70;4.20;82.00;0.30;
2022-04-01T20:34:00Z;7;227.66;696.30;6.35;3.14;30.52;65.88;6.66;2.96;0.41;1016.10;63.90;4.30;87.00;0.60;
2022-04-01T12:37:00Z;7;220.60;682.06;3.32;8.52;18.98;55.47;5.66;2.96;0.20;1012.70;60.80;6.00;96.00;0.90;
2022-04-01T12:38:00Z;7;215.17;685.90;3.32;7.93;20.72;54.06;6.66;3.77;0.20;1012.70;60.00;6.00;101.00;1.10;
2022-04-01T12:39:00Z;7;206.98;685.83;3.46;7.34;22.45;51.24;5.66;2.96;0.20;1012.60;59.70;6.00;105.00;1.10;
2022-04-01T12:40:00Z;7;200.51;674.79;3.67;6.17;22.53;49.97;6.66;3.77;0.20;1012.60;57.90;5.80;99.00;1.30;
