time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-03-25T20:21:00Z;7;406.31;764.09;7.27;6.16;41.82;47.38;47.56;29.83;0.81;1031.20;58.20;10.60;82.00;0.50;
2022-03-25T20:36:00Z;7;485.82;760.92;7.14;8.50;43.68;41.92;51.55;33.91;0.81;1031.40;58.60;10.40;52.00;0.10;
2022-03-25T20:22:00Z;7;405.01;764.16;7.27;4.39;41.84;51.62;48.56;32.28;0.81;1031.30;58.20;10.60;82.00;0.40;
2022-03-25T20:23:00Z;7;400.94;762.24;7.27;4.39;41.84;51.62;41.57;29.02;0.81;1031.30;58.50;10.60;84.00;0.30;
2022-03-25T20:24:00Z;7;398.22;756.46;7.27;4.98;43.58;50.21;40.58;27.39;0.81;1031.30;58.30;10.60;106.00;0.40;
2022-03-25T20:25:00Z;7;397.30;768.55;7.28;4.98;45.42;51.76;51.55;33.09;0.81;1031.30;58.40;10.40;116.00;0.30;
2022-03-25T20:26:00Z;7;391.80;758.85;7.28;4.39;45.40;54.55;49.55;31.46;0.61;1031.20;58.50;10.40;101.00;0.30;
2022-03-25T20:27:00Z;7;390.56;759.00;7.21;4.39;43.68;54.59;46.56;29.83;0.61;1031.40;58.70;10.40;90.00;0.20;
2022-03-25T20:28:00Z;7;390.50;764.70;7.14;6.15;45.42;51.76;50.55;32.28;0.61;1031.30;58.50;10.40;90.00;0.20;
2022-03-25T20:29:00Z;7;393.16;766.55;7.14;6.74;45.40;47.52;46.56;30.65;0.61;1031.20;58.50;10.40;75.00;0.20;
2022-03-25T20:30:00Z;7;398.66;766.63;7.14;7.33;47.16;44.72;55.54;34.72;0.61;1031.30;58.50;10.40;77.00;0.20;
2022-03-25T20:31:00Z;7;402.74;764.70;7.14;7.92;47.16;41.91;58.53;37.98;0.61;1031.30;58.40;10.40;88.00;0.40;
2022-03-25T20:32:00Z;7;406.83;766.63;7.14;7.33;45.42;43.31;57.54;37.17;0.61;1031.30;58.50;10.40;104.00;0.30;
2022-03-25T20:33:00Z;7;417.65;776.18;7.14;7.92;45.40;46.11;53.54;33.91;0.61;1031.20;58.70;10.40;109.00;0.30;
2022-03-25T20:34:00Z;7;427.24;766.63;7.14;7.92;43.67;46.13;45.56;29.83;0.81;1031.30;58.60;10.40;42.00;0.10;
2022-03-25T12:37:00Z;7;125.22;745.97;2.24;6.88;;15.76;30.60;20.06;0.20;1031.00;29.90;16.70;122.00;1.00;
2022-03-25T12:38:00Z;7;148.07;742.64;2.10;5.73;;17.23;30.60;22.50;0.20;1030.90;30.80;16.50;104.00;0.70;
2022-03-25T12:39:00Z;7;166.89;742.97;1.97;4.57;;21.44;31.60;21.69;0.20;1031.00;32.10;16.40;87.00;0.40;
2022-03-25T12:40:00Z;7;165.38;750.18;1.63;4.58;;24.12;34.59;23.32;0.20;1030.90;32.60;16.50;99.00;0.40;
2022-03-25T07:33:00Z;7;405.94;748.85;2.51;7.29;34.06;68.77;72.50;46.12;0.82;1031.00;81.20;8.30;84.00;0.30;
2022-03-25T07:34:00Z;7;404.57;748.85;2.44;7.29;34.06;68.77;73.50;43.68;0.82;1031.00;81.10;8.30;49.00;0.20;
2022-03-25T07:35:00Z;7;407.37;750.86;2.44;7.29;34.07;68.79;69.51;45.31;0.82;1031.10;80.70;8.30;73.00;0.40;
2022-03-25T07:36:00Z;7;418.34;752.80;2.44;7.29;34.07;70.20;69.51;44.50;0.82;1031.10;80.50;8.30;57.00;0.30;
2022-03-25T07:37:00Z;7;417.88;752.27;2.37;7.29;32.23;70.05;65.52;42.05;0.82;1031.10;80.50;8.50;94.00;0.30;
2022-03-25T07:38:00Z;7;413.77;744.51;2.30;7.88;30.47;70.05;70.50;44.50;0.82;1031.10;79.90;8.50;56.00;0.30;
2022-03-25T07:39:00Z;7;409.72;742.64;2.30;8.47;28.73;71.49;69.51;42.87;0.82;1031.20;80.60;8.50;77.00;0.20;
2022-03-25T07:40:00Z;7;402.64;748.19;2.23;7.29;28.69;71.41;68.51;43.68;0.61;1031.20;80.30;8.60;101.00;0.40;
2022-03-25T07:41:00Z;7;405.38;750.13;2.09;6.70;30.44;71.41;72.50;46.12;0.61;1031.20;79.60;8.60;97.00;0.40;
2022-03-25T07:42:00Z;7;405.32;744.25;2.02;7.29;32.19;69.97;65.52;42.05;0.61;1031.10;79.60;8.60;103.00;0.40;
2022-03-25T07:43:00Z;7;399.91;746.26;1.95;7.29;32.20;70.00;70.50;45.31;0.61;1031.20;79.10;8.60;94.00;0.40;
2022-03-25T07:44:00Z;7;393.98;755.41;1.95;7.30;32.11;69.84;66.51;42.05;0.61;1031.20;79.00;8.80;74.00;0.30;
2022-03-25T07:45:00Z;7;382.98;743.72;1.95;7.30;30.35;69.82;67.51;42.05;0.61;1031.10;78.40;8.80;85.00;0.30;
2022-03-25T07:46:00Z;7;374.83;730.23;1.95;7.30;30.36;68.43;71.50;44.50;0.61;1031.20;79.00;8.80;90.00;0.30;
2022-03-25T07:47:00Z;7;369.35;743.79;1.88;7.30;28.61;68.43;65.52;42.87;0.61;1031.20;78.70;8.80;69.00;0.20;
2022-03-25T07:48:00Z;7;366.56;741.78;1.81;5.52;28.59;66.99;71.50;43.68;0.61;1031.10;78.40;8.80;44.00;0.10;
2022-03-25T07:49:00Z;7;362.03;741.25;1.74;6.71;28.51;64.01;69.51;43.68;0.61;1031.10;78.20;9.00;100.00;0.40;
2022-03-25T07:50:00Z;7;370.23;747.06;1.67;7.89;28.51;65.43;73.50;48.57;0.61;1031.10;77.00;9.00;92.00;0.60;
2022-03-25T07:51:00Z;7;381.23;735.52;1.67;7.30;26.77;69.69;68.51;42.87;0.61;1031.20;77.20;9.00;89.00;0.40;
2022-03-25T07:52:00Z;7;381.23;749.07;1.74;7.89;26.77;69.69;64.52;42.05;0.61;1031.20;77.70;9.00;72.00;0.30;
2022-03-25T07:53:00Z;7;375.76;743.26;1.74;9.07;26.77;68.28;65.52;42.87;0.61;1031.20;77.10;9.00;38.00;0.10;
2022-03-25T07:54:00Z;7;374.18;741.06;1.67;9.07;26.73;63.96;68.51;42.87;0.61;1031.20;77.20;9.10;100.00;0.30;
2022-03-25T07:55:00Z;7;411.08;744.93;1.60;9.07;26.73;65.37;65.52;42.05;0.61;1031.20;76.50;9.10;104.00;0.40;
2022-03-25T07:56:00Z;7;452.03;744.86;1.53;7.89;26.72;65.35;68.51;42.87;0.61;1031.10;76.10;9.10;68.00;0.30;
2022-03-25T07:57:00Z;7;450.73;746.87;1.53;6.71;24.98;62.54;70.50;44.50;0.61;1031.20;75.60;9.10;92.00;0.40;
2022-03-25T07:58:00Z;7;432.55;752.21;1.60;7.31;24.91;62.42;67.51;42.87;0.61;1031.30;75.60;9.30;102.00;0.40;
2022-03-25T07:59:00Z;7;420.25;746.41;1.60;7.31;26.66;62.42;70.50;43.68;0.61;1031.30;75.80;9.30;75.00;0.20;
2022-03-25T08:00:00Z;7;424.29;752.14;1.53;7.31;26.65;59.57;64.52;41.24;0.61;1031.20;75.10;9.30;110.00;0.40;
2022-03-25T08:01:00Z;7;436.58;756.01;1.46;6.72;26.65;59.57;67.51;41.24;0.61;1031.20;74.90;9.30;122.00;0.50;
2022-03-25T08:02:00Z;7;440.20;747.74;1.46;7.31;26.57;60.84;69.51;43.68;0.61;1031.20;74.80;9.50;89.00;0.30;
2022-03-25T08:03:00Z;7;437.54;740.09;1.46;7.90;28.33;59.45;64.52;41.24;0.61;1031.30;74.30;9.50;103.00;0.30;
2022-03-25T08:04:00Z;7;419.73;743.88;1.46;7.90;30.07;56.60;67.51;41.24;0.61;1031.20;73.90;9.50;62.00;0.20;
2022-03-25T08:05:00Z;7;403.47;745.96;1.46;6.13;26.59;58.05;68.51;42.87;0.61;1031.40;74.70;9.50;72.00;0.20;
2022-03-25T08:06:00Z;7;393.63;747.55;1.32;6.13;26.54;55.14;69.51;42.87;0.61;1031.30;75.00;9.60;82.00;0.30;
2022-03-25T08:07:00Z;7;414.16;745.69;1.18;6.13;26.56;52.34;66.51;42.87;0.61;1031.40;73.90;9.60;65.00;0.30;
2022-03-25T08:08:00Z;7;408.64;747.55;1.11;5.54;26.54;56.55;64.52;40.42;0.61;1031.30;73.50;9.60;104.00;0.40;
2022-03-25T08:09:00Z;7;393.63;759.14;1.04;6.72;26.54;57.96;66.51;40.42;0.61;1031.30;72.50;9.60;99.00;0.40;
2022-03-25T08:10:00Z;7;382.77;739.90;1.11;6.72;24.81;59.39;70.50;45.31;0.61;1031.40;72.40;9.60;46.00;0.10;
2022-03-25T08:11:00Z;7;371.43;739.37;1.18;7.91;22.98;60.66;66.51;41.24;0.61;1031.40;72.70;9.80;92.00;0.30;
2022-03-25T08:12:00Z;7;439.62;749.02;1.11;8.49;24.73;60.66;68.51;43.68;0.81;1031.40;73.20;9.80;74.00;0.20;
2022-03-25T08:13:00Z;7;509.10;747.02;0.97;9.08;24.72;59.23;63.52;40.42;1.01;1031.30;71.90;9.80;73.00;0.30;
2022-03-25T08:14:00Z;7;528.19;748.95;0.97;9.08;24.72;57.82;66.51;42.87;1.01;1031.30;72.50;9.80;98.00;0.30;
2022-03-25T08:15:00Z;7;489.75;746.76;0.90;7.32;24.68;59.16;69.51;42.87;1.01;1031.30;72.50;9.90;85.00;0.20;
2022-03-25T08:16:00Z;7;455.67;744.83;0.76;9.09;24.68;60.57;63.52;39.61;1.01;1031.30;72.60;9.90;46.00;0.10;
2022-03-25T08:17:00Z;7;433.92;750.69;0.63;10.26;24.69;56.36;68.51;42.05;1.01;1031.40;72.30;9.90;59.00;0.20;
2022-03-25T08:18:00Z;7;425.74;746.83;0.49;10.85;24.69;54.95;65.52;42.05;1.01;1031.40;71.30;9.90;72.00;0.30;
2022-03-25T08:19:00Z;7;410.29;734.73;0.56;10.27;22.86;56.21;70.50;42.05;1.01;1031.40;70.00;10.10;70.00;0.20;
2022-03-25T08:20:00Z;7;392.64;738.66;0.76;9.68;22.88;56.23;63.52;40.42;1.01;1031.50;68.40;10.10;106.00;0.60;
2022-03-25T08:21:00Z;7;380.38;740.59;0.97;8.50;21.13;56.23;62.52;38.79;0.81;1031.50;67.50;10.10;22.00;0.10;
2022-03-25T08:22:00Z;7;368.12;738.66;1.18;8.50;17.64;56.23;61.53;38.79;0.81;1031.50;67.80;10.10;55.00;0.20;
2022-03-25T08:23:00Z;7;362.61;738.59;1.25;8.50;15.88;56.21;63.52;40.42;0.81;1031.40;66.70;10.10;60.00;0.30;
2022-03-25T08:24:00Z;7;352.72;734.28;1.39;7.91;15.82;53.27;63.52;37.98;0.81;1031.50;67.30;10.30;55.00;0.10;
2022-03-25T08:25:00Z;7;341.77;743.85;1.39;9.09;15.81;50.44;64.52;41.24;0.81;1031.40;65.70;10.30;103.00;0.50;
