time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-03-28T20:21:00Z;7;264.19;688.09;6.90;11.45;39.56;40.98;48.56;31.46;0.81;1018.60;92.20;8.30;101.00;0.40;
2022-03-28T20:36:00Z;7;270.96;688.09;6.69;6.19;36.09;46.58;49.55;32.28;0.81;1018.60;92.70;8.30;63.00;0.20;
2022-03-28T20:22:00Z;7;266.90;690.01;6.90;10.28;39.56;40.98;46.56;30.65;0.81;1018.60;92.40;8.30;93.00;0.30;
2022-03-28T20:23:00Z;7;269.56;697.60;6.90;10.28;39.55;40.96;51.55;33.09;0.81;1018.50;92.50;8.30;53.00;0.20;
2022-03-28T20:24:00Z;7;268.25;691.92;6.90;10.87;39.56;40.98;51.55;33.09;0.81;1018.60;92.50;8.30;36.00;0.10;
2022-03-28T20:25:00Z;7;266.90;690.01;6.90;10.28;39.56;38.18;49.55;32.28;0.81;1018.60;92.60;8.30;0.00;0.00;
2022-03-28T20:26:00Z;7;266.50;693.28;6.89;9.70;37.73;33.83;50.55;32.28;0.81;1018.50;92.30;8.50;88.00;0.30;
2022-03-28T20:27:00Z;7;266.54;691.43;6.89;7.95;36.00;33.85;47.56;31.46;0.81;1018.60;92.20;8.50;79.00;0.20;
2022-03-28T20:28:00Z;7;265.19;691.43;6.89;8.53;36.00;33.85;48.56;31.46;0.81;1018.60;92.10;8.50;107.00;0.40;
2022-03-28T20:29:00Z;7;265.19;689.52;6.89;7.95;34.27;38.05;49.55;33.09;0.81;1018.60;92.20;8.50;97.00;0.30;
2022-03-28T20:30:00Z;7;266.85;689.94;6.90;6.77;36.08;40.96;51.55;33.09;0.81;1018.50;92.30;8.30;103.00;0.50;
2022-03-28T20:31:00Z;7;266.90;693.84;6.83;6.19;36.09;43.78;50.55;33.09;0.81;1018.60;92.40;8.30;87.00;0.30;
2022-03-28T20:32:00Z;7;268.25;686.17;6.76;6.77;34.36;43.78;43.57;29.02;0.81;1018.60;92.50;8.30;80.00;0.20;
2022-03-28T20:33:00Z;7;266.90;680.42;6.76;6.77;32.62;45.18;48.56;31.46;0.81;1018.60;92.60;8.30;83.00;0.20;
2022-03-28T20:34:00Z;7;262.84;684.26;6.76;5.60;32.62;49.38;49.55;32.28;0.81;1018.60;92.50;8.30;84.00;0.40;
2022-03-28T12:37:00Z;7;199.09;705.07;0.07;8.06;;;16.63;10.29;0.99;1021.70;60.60;15.40;88.00;0.30;
2022-03-28T12:38:00Z;7;197.47;697.09;0.07;8.63;;;13.64;9.47;0.98;1021.70;58.40;15.60;117.00;0.50;
2022-03-28T12:39:00Z;7;196.44;705.07;0.07;10.35;;;13.64;9.47;0.99;1021.70;58.90;15.40;88.00;0.40;
2022-03-28T12:40:00Z;7;192.72;701.74;0.27;10.92;;;16.63;11.92;0.99;1021.60;58.50;15.20;126.00;0.70;
2022-03-28T07:33:00Z;7;276.65;705.58;3.83;10.85;24.88;22.80;12.64;8.66;1.42;1024.40;95.60;7.50;68.00;0.10;
2022-03-28T07:34:00Z;7;267.01;699.67;3.83;11.44;24.86;22.77;14.64;10.29;1.42;1024.60;95.40;7.60;78.00;0.20;
2022-03-28T07:35:00Z;7;257.41;691.87;3.76;10.85;24.85;25.58;12.64;7.84;1.42;1024.50;94.80;7.60;89.00;0.40;
2022-03-28T07:36:00Z;7;249.34;697.85;3.76;9.67;24.88;31.27;13.64;8.66;1.22;1024.40;94.50;7.50;110.00;0.40;
2022-03-28T07:37:00Z;7;241.15;703.65;3.76;9.67;23.13;34.10;13.64;9.47;1.22;1024.40;94.50;7.50;102.00;0.30;
2022-03-28T07:38:00Z;7;235.68;693.98;3.76;10.85;23.13;34.10;13.64;9.47;1.22;1024.40;94.90;7.50;91.00;0.20;
2022-03-28T07:39:00Z;7;235.73;701.78;3.76;11.44;23.14;32.70;16.63;11.10;1.22;1024.50;95.40;7.50;70.00;0.20;
2022-03-28T07:40:00Z;7;282.17;709.52;3.76;12.03;24.89;29.88;15.64;9.47;1.42;1024.50;95.60;7.50;48.00;0.20;
2022-03-28T07:41:00Z;7;322.94;709.26;3.76;12.03;26.60;24.17;16.63;10.29;1.42;1024.50;95.30;7.60;87.00;0.30;
2022-03-28T07:42:00Z;7;331.13;699.60;3.76;12.03;26.60;24.17;15.64;11.10;1.42;1024.50;95.10;7.60;19.00;0.10;
2022-03-28T07:43:00Z;7;318.79;689.87;3.76;11.44;24.84;26.98;23.62;15.17;1.42;1024.40;95.20;7.60;0.00;0.00;
2022-03-28T07:44:00Z;7;324.25;699.53;3.76;11.44;24.84;25.56;48.56;32.28;1.42;1024.40;95.10;7.60;67.00;0.20;
2022-03-28T07:45:00Z;7;370.24;697.10;3.75;12.03;30.01;24.03;13.64;9.47;1.62;1024.40;94.60;7.80;100.00;0.50;
2022-03-28T07:46:00Z;7;384.38;695.73;3.76;12.62;30.10;25.58;13.64;9.47;1.62;1024.50;93.90;7.60;96.00;0.30;
2022-03-28T07:47:00Z;7;410.26;699.53;3.76;12.62;26.59;28.39;11.65;7.84;1.42;1024.40;93.70;7.60;99.00;0.20;
2022-03-28T07:48:00Z;7;426.64;701.46;3.76;11.44;24.84;29.80;15.64;10.29;1.42;1024.40;94.20;7.60;59.00;0.10;
2022-03-28T07:49:00Z;7;464.93;707.33;3.76;11.44;24.85;32.64;14.64;10.29;1.62;1024.50;93.90;7.60;117.00;0.60;
2022-03-28T07:50:00Z;7;582.35;709.26;3.76;12.03;26.60;35.47;13.64;9.47;1.83;1024.50;93.80;7.60;87.00;0.40;
2022-03-28T07:51:00Z;7;611.02;686.07;3.76;12.62;26.60;36.88;14.64;9.47;2.03;1024.50;94.10;7.60;77.00;0.30;
2022-03-28T07:52:00Z;7;539.95;689.87;3.76;11.44;24.84;35.45;17.63;11.10;1.83;1024.40;94.30;7.60;0.00;0.00;
2022-03-28T07:53:00Z;7;496.33;699.60;3.83;11.44;23.10;29.82;17.63;11.92;1.83;1024.50;94.90;7.60;0.00;0.00;
2022-03-28T07:54:00Z;7;483.46;697.10;3.82;12.62;23.01;25.44;15.64;10.29;1.83;1024.40;94.60;7.80;28.00;0.20;
2022-03-28T07:55:00Z;7;479.30;698.97;3.82;12.62;24.75;24.01;14.64;10.29;1.83;1024.30;94.40;7.80;80.00;0.20;
2022-03-28T07:56:00Z;7;472.62;695.24;3.75;12.62;26.52;24.05;14.64;9.47;1.83;1024.50;94.00;7.80;98.00;0.30;
2022-03-28T07:57:00Z;7;426.10;695.10;3.68;12.03;28.25;28.25;15.64;10.29;1.83;1024.30;93.60;7.80;78.00;0.30;
2022-03-28T07:58:00Z;7;386.55;706.69;3.68;10.85;28.25;32.48;13.64;8.66;1.62;1024.30;93.40;7.80;98.00;0.40;
2022-03-28T07:59:00Z;7;349.72;700.90;3.68;10.26;29.99;32.48;13.64;8.66;1.42;1024.30;93.30;7.80;106.00;0.30;
2022-03-28T08:00:00Z;7;314.30;693.24;3.68;9.67;28.26;35.32;15.64;10.29;1.42;1024.40;93.10;7.80;109.00;0.50;
2022-03-28T08:01:00Z;7;295.21;700.96;3.68;10.26;26.51;35.32;13.64;9.47;1.42;1024.40;93.30;7.80;94.00;0.30;
2022-03-28T08:02:00Z;7;291.11;700.96;3.68;10.26;24.76;33.91;16.63;11.10;1.22;1024.40;93.00;7.80;116.00;0.50;
2022-03-28T08:03:00Z;7;280.57;695.67;3.76;10.26;24.84;31.21;18.63;11.92;1.22;1024.40;93.20;7.60;99.00;0.20;
2022-03-28T08:04:00Z;7;266.87;693.67;3.82;10.85;24.83;29.78;15.64;11.10;1.22;1024.30;93.40;7.60;112.00;0.40;
2022-03-28T08:05:00Z;7;268.28;697.60;3.83;10.26;26.59;31.21;14.64;9.47;1.22;1024.40;92.90;7.60;109.00;0.60;
2022-03-28T08:06:00Z;7;365.21;699.53;3.89;11.44;24.84;32.62;11.65;7.03;1.22;1024.40;92.80;7.60;113.00;0.70;
2022-03-28T08:07:00Z;7;478.70;695.85;3.97;10.85;23.12;34.08;14.64;8.66;1.42;1024.30;93.20;7.50;95.00;0.30;
2022-03-28T08:08:00Z;7;545.61;693.91;4.03;10.26;23.12;34.08;13.64;7.84;1.63;1024.30;93.50;7.50;84.00;0.50;
2022-03-28T08:09:00Z;7;503.21;688.05;4.03;10.26;21.36;34.06;10.65;5.40;1.62;1024.20;93.80;7.50;97.00;0.30;
2022-03-28T08:10:00Z;7;435.00;695.85;4.03;10.85;19.62;34.08;11.65;7.84;1.42;1024.30;93.50;7.50;88.00;0.50;
2022-03-28T08:11:00Z;7;376.29;697.78;4.03;10.26;19.62;36.91;14.64;9.47;1.42;1024.30;93.40;7.50;80.00;0.40;
2022-03-28T08:12:00Z;7;329.80;697.71;4.03;10.85;19.60;38.30;12.64;6.22;1.42;1024.20;93.30;7.50;60.00;0.40;
2022-03-28T08:13:00Z;7;294.35;691.98;4.03;11.44;17.86;36.91;10.65;6.22;1.42;1024.30;93.40;7.50;59.00;0.20;
2022-03-28T08:14:00Z;7;269.78;688.12;4.03;10.85;17.86;32.67;14.64;8.66;1.42;1024.30;93.60;7.50;65.00;0.20;
2022-03-28T08:15:00Z;7;254.58;693.67;4.03;11.44;19.58;29.78;14.64;9.47;1.22;1024.30;93.40;7.60;95.00;0.40;
2022-03-28T08:16:00Z;7;246.39;687.87;3.96;9.67;19.58;31.19;13.64;8.66;1.22;1024.30;93.30;7.60;107.00;0.40;
2022-03-28T08:17:00Z;7;250.49;689.80;3.96;7.31;21.33;29.78;12.64;7.84;1.22;1024.30;93.70;7.60;87.00;0.20;
2022-03-28T08:18:00Z;7;250.49;697.53;3.89;7.31;23.08;28.37;12.64;8.66;1.22;1024.30;93.90;7.60;67.00;0.20;
2022-03-28T08:19:00Z;7;247.76;699.46;3.82;7.90;23.08;28.37;10.65;6.22;1.22;1024.30;93.70;7.60;76.00;0.20;
2022-03-28T08:20:00Z;7;241.91;691.17;3.75;6.73;22.99;31.05;13.64;9.47;1.22;1024.20;93.20;7.80;96.00;0.50;
2022-03-28T08:21:00Z;7;231.00;691.17;3.68;6.73;22.99;33.87;14.64;9.47;1.22;1024.20;92.70;7.80;54.00;0.20;
