time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-03-26T20:21:00Z;7;304.58;733.63;7.28;3.80;41.88;64.35;13.64;7.84;1.01;1032.40;88.20;10.80;111.00;0.90;
2022-03-26T20:36:00Z;7;296.90;728.51;7.28;4.97;42.00;65.95;8.65;5.40;1.01;1032.60;88.90;10.60;107.00;1.00;
2022-03-26T20:22:00Z;7;307.30;729.78;7.28;2.63;41.88;67.17;13.64;8.66;1.01;1032.40;88.40;10.80;105.00;0.60;
2022-03-26T20:23:00Z;7;308.72;731.78;7.28;2.04;41.90;67.19;28.61;20.88;1.01;1032.50;88.50;10.80;88.00;0.80;
2022-03-26T20:24:00Z;7;304.58;739.41;7.28;0.86;41.88;68.58;14.64;9.47;1.01;1032.40;88.70;10.80;103.00;0.90;
2022-03-26T20:25:00Z;7;306.38;736.15;7.28;;43.73;70.16;12.64;8.66;1.01;1032.50;88.80;10.60;107.00;0.70;
2022-03-26T20:26:00Z;7;307.74;728.44;7.28;1.44;45.48;70.16;14.64;9.47;1.01;1032.50;89.10;10.60;82.00;0.20;
2022-03-26T20:27:00Z;7;319.55;725.93;7.28;3.80;43.63;67.17;16.63;11.92;1.01;1032.40;89.00;10.80;88.00;0.60;
2022-03-26T20:28:00Z;7;327.82;733.77;7.28;3.21;43.65;67.21;12.64;7.84;1.01;1032.60;89.00;10.80;86.00;0.40;
2022-03-26T20:29:00Z;7;329.12;729.85;7.28;2.04;43.64;65.78;11.65;7.84;1.01;1032.50;88.80;10.80;80.00;0.50;
2022-03-26T20:30:00Z;7;324.99;731.70;7.28;2.63;43.63;65.76;11.65;7.03;1.01;1032.40;88.80;10.80;75.00;0.60;
2022-03-26T20:31:00Z;7;319.55;724.00;7.21;4.98;41.88;69.98;11.65;7.84;1.01;1032.40;88.80;10.80;96.00;0.60;
2022-03-26T20:32:00Z;7;315.52;737.55;7.21;5.57;41.90;72.82;10.65;6.22;1.01;1032.50;88.80;10.80;97.00;0.60;
2022-03-26T20:33:00Z;7;311.44;737.55;7.28;5.57;41.90;70.00;13.64;8.66;1.01;1032.50;88.70;10.80;96.00;0.60;
2022-03-26T20:34:00Z;7;302.29;722.66;7.28;6.74;43.73;67.34;10.65;7.03;1.01;1032.50;88.80;10.60;104.00;0.70;
2022-03-26T12:37:00Z;7;123.71;748.56;5.36;4.11;;11.18;47.56;30.65;0.20;1031.80;34.00;20.30;103.00;0.60;
2022-03-26T12:38:00Z;7;126.50;747.02;5.70;4.11;;11.25;49.55;31.46;0.20;1031.90;34.80;20.20;104.00;0.60;
2022-03-26T12:39:00Z;7;138.31;752.54;5.97;2.40;;13.96;46.56;30.65;0.20;1031.80;35.20;20.20;55.00;0.20;
2022-03-26T12:40:00Z;7;138.31;752.54;5.83;1.84;0.62;11.23;49.55;29.83;0.20;1031.80;35.60;20.20;75.00;0.40;
2022-03-26T07:33:00Z;7;588.44;787.17;2.78;12.62;40.70;37.02;79.48;57.53;1.22;1032.60;80.10;9.60;0.00;0.00;
2022-03-26T07:34:00Z;7;589.81;802.65;2.78;12.62;38.95;35.61;78.48;55.08;1.22;1032.60;79.80;9.60;0.00;0.00;
2022-03-26T07:35:00Z;7;587.08;802.65;2.78;12.62;38.95;35.61;79.48;55.90;1.22;1032.60;79.10;9.60;43.00;0.10;
2022-03-26T07:36:00Z;7;582.98;781.37;2.78;12.62;38.95;38.43;75.49;52.64;1.22;1032.60;78.60;9.60;25.00;0.10;
2022-03-26T07:37:00Z;7;572.84;778.89;2.78;12.62;40.61;38.30;79.48;53.45;1.22;1032.60;78.30;9.80;36.00;0.10;
2022-03-26T07:38:00Z;7;568.67;784.61;2.78;12.62;40.60;41.11;76.49;55.90;1.22;1032.50;78.20;9.80;32.00;0.10;
2022-03-26T07:39:00Z;7;567.38;784.69;2.78;12.62;40.61;43.95;76.49;51.83;1.22;1032.60;78.30;9.80;0.00;0.00;
2022-03-26T07:40:00Z;7;561.56;790.13;2.78;12.62;40.55;42.45;82.47;56.71;1.22;1032.50;77.90;9.90;0.00;0.00;
2022-03-26T07:41:00Z;7;553.37;782.40;2.71;12.03;38.80;42.45;74.49;50.20;1.22;1032.50;77.50;9.90;23.00;0.10;
2022-03-26T07:42:00Z;7;546.55;780.47;2.71;10.85;38.80;42.45;78.48;54.27;1.22;1032.50;76.80;9.90;29.00;0.10;
2022-03-26T07:43:00Z;7;541.91;787.64;2.71;9.67;36.97;45.14;82.47;57.53;1.22;1032.50;76.40;10.10;0.00;0.00;
2022-03-26T07:44:00Z;7;535.16;778.06;2.71;10.26;35.23;46.57;78.48;55.90;1.22;1032.60;76.00;10.10;0.00;0.00;
2022-03-26T07:45:00Z;7;531.07;772.27;2.71;10.26;33.48;45.16;79.48;56.71;1.22;1032.60;75.80;10.10;0.00;0.00;
