time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-03-27T20:21:00Z;7;315.40;718.14;7.48;5.57;43.61;30.56;6.66;3.77;1.01;1029.00;78.20;9.90;26.00;0.10;
2022-03-27T20:36:00Z;7;354.99;714.47;7.42;11.45;41.90;17.94;8.65;4.59;1.01;1028.90;79.30;9.80;58.00;0.10;
2022-03-27T20:22:00Z;7;315.40;716.21;7.48;7.33;43.61;29.16;6.66;3.77;1.01;1029.00;78.00;9.90;66.00;0.10;
2022-03-27T20:23:00Z;7;349.40;731.62;7.48;7.33;41.87;29.16;10.65;6.22;1.01;1029.00;78.20;9.90;79.00;0.40;
2022-03-27T20:24:00Z;7;365.94;720.32;7.49;6.74;41.91;30.62;6.66;3.77;1.01;1029.00;78.50;9.80;95.00;0.30;
2022-03-27T20:25:00Z;7;365.94;710.69;7.42;6.15;41.91;32.03;8.65;5.40;1.01;1029.00;78.70;9.80;20.00;0.10;
2022-03-27T20:26:00Z;7;356.41;716.47;7.42;7.33;41.91;30.62;10.65;5.40;1.01;1029.00;78.70;9.80;98.00;0.30;
2022-03-27T20:27:00Z;7;352.33;716.47;7.42;6.74;41.91;30.62;11.65;6.22;1.01;1029.00;79.10;9.80;100.00;0.30;
2022-03-27T20:28:00Z;7;350.91;716.40;7.42;5.57;41.90;33.42;7.66;3.77;1.01;1028.90;79.30;9.80;0.00;0.00;
2022-03-27T20:29:00Z;7;346.89;716.47;7.42;5.57;43.66;33.44;10.65;7.03;1.01;1029.00;79.20;9.80;73.00;0.20;
2022-03-27T20:30:00Z;7;346.83;716.40;7.42;6.15;43.64;27.79;9.65;5.40;1.01;1028.90;79.30;9.80;103.00;0.40;
2022-03-27T20:31:00Z;7;358.13;722.69;7.42;5.56;43.74;27.92;9.65;5.40;1.01;1028.90;79.60;9.60;58.00;0.10;
2022-03-27T20:32:00Z;7;362.22;724.61;7.42;7.33;43.74;27.92;10.65;5.40;1.01;1028.90;79.50;9.60;54.00;0.20;
2022-03-27T20:33:00Z;7;362.28;713.12;7.42;10.27;45.49;26.52;6.66;3.77;1.01;1029.00;79.50;9.60;59.00;0.20;
2022-03-27T20:34:00Z;7;362.22;718.83;7.42;11.44;45.48;23.69;8.65;4.59;1.01;1028.90;79.50;9.60;62.00;0.10;
2022-03-27T12:37:00Z;7;107.46;713.00;1.02;8.04;;;6.66;3.77;0.59;1030.70;38.00;17.00;109.00;0.40;
2022-03-27T12:38:00Z;7;113.90;723.86;0.07;8.04;;;8.65;5.40;0.59;1030.80;34.70;17.20;79.00;0.60;
2022-03-27T12:39:00Z;7;123.20;721.98;1.96;8.04;;;8.65;5.40;0.40;1030.80;33.90;17.20;72.00;0.30;
2022-03-27T12:40:00Z;7;128.51;721.98;2.77;7.47;;;6.66;3.77;0.40;1030.80;33.90;17.20;110.00;0.60;
2022-03-27T07:33:00Z;7;252.58;710.25;1.96;9.66;23.55;48.98;16.63;10.29;1.02;1032.40;87.00;8.60;75.00;0.20;
2022-03-27T07:34:00Z;7;254.98;711.69;1.95;9.66;23.47;47.42;22.62;15.17;1.02;1032.40;87.40;8.80;92.00;0.30;
2022-03-27T07:35:00Z;7;249.54;705.94;1.88;9.07;25.24;47.44;16.63;11.10;1.02;1032.50;86.50;8.80;91.00;0.40;
2022-03-27T07:36:00Z;7;246.46;691.87;1.88;7.88;25.16;48.72;15.64;10.29;1.02;1032.50;86.20;9.00;36.00;0.20;
2022-03-27T07:37:00Z;7;242.40;695.82;1.88;7.29;21.66;50.15;15.64;10.29;1.02;1032.60;85.80;9.00;104.00;0.50;
2022-03-27T07:38:00Z;7;243.72;697.69;1.88;6.11;21.65;54.38;16.63;10.29;1.02;1032.50;84.90;9.00;84.00;0.50;
2022-03-27T07:39:00Z;7;286.12;699.56;1.95;5.52;21.64;55.78;18.63;12.73;1.02;1032.40;84.40;9.00;112.00;0.60;
2022-03-27T07:40:00Z;7;414.87;705.44;2.09;4.33;21.65;58.63;17.63;9.47;1.22;1032.50;84.60;9.00;112.00;0.60;
2022-03-27T07:41:00Z;7;525.76;711.25;2.23;4.33;19.89;60.05;16.63;11.10;1.43;1032.50;84.70;9.00;116.00;0.50;
2022-03-27T07:42:00Z;7;592.85;711.25;2.30;4.33;18.14;61.46;13.64;7.03;1.63;1032.50;84.30;9.00;117.00;0.80;
2022-03-27T07:43:00Z;7;579.08;705.37;2.37;4.93;16.37;62.86;12.64;7.84;1.63;1032.40;85.10;9.00;48.00;0.20;
2022-03-27T07:44:00Z;7;598.33;691.87;2.37;6.11;16.38;57.22;15.64;9.47;1.83;1032.50;85.30;9.00;63.00;0.20;
2022-03-27T07:45:00Z;7;620.23;701.56;2.37;6.11;16.38;52.97;14.64;9.47;1.83;1032.50;85.40;9.00;86.00;0.30;
2022-03-27T07:46:00Z;7;580.24;703.25;2.30;6.70;16.35;50.07;13.64;8.66;1.83;1032.50;85.40;9.10;20.00;0.10;
2022-03-27T07:47:00Z;7;515.84;705.12;2.23;7.30;16.34;48.63;15.64;10.29;1.63;1032.40;84.90;9.10;107.00;0.30;
2022-03-27T07:48:00Z;7;447.48;707.13;2.16;7.29;16.35;48.65;16.63;11.10;1.43;1032.50;84.80;9.10;89.00;0.40;
2022-03-27T07:49:00Z;7;389.50;702.68;2.09;6.71;18.02;48.49;12.64;7.03;1.42;1032.40;84.30;9.30;51.00;0.20;
2022-03-27T07:50:00Z;7;338.90;710.43;2.02;7.30;16.26;48.49;15.64;10.29;1.42;1032.40;84.30;9.30;51.00;0.10;
2022-03-27T07:51:00Z;7;304.71;704.62;2.02;7.30;16.26;44.25;18.63;12.73;1.42;1032.40;83.90;9.30;79.00;0.30;
2022-03-27T07:52:00Z;7;284.20;708.49;1.95;7.30;16.26;45.66;16.63;9.47;1.22;1032.40;83.90;9.30;110.00;0.40;
2022-03-27T07:53:00Z;7;319.36;709.92;1.95;7.89;17.94;45.53;17.63;11.10;1.22;1032.40;83.70;9.50;110.00;0.50;
2022-03-27T07:54:00Z;7;477.81;702.12;1.95;9.08;17.93;48.34;13.64;9.47;1.42;1032.30;83.40;9.50;120.00;0.60;
2022-03-27T07:55:00Z;7;479.25;702.19;1.95;9.08;17.94;49.77;15.64;10.29;1.42;1032.40;82.80;9.50;109.00;0.50;
2022-03-27T07:56:00Z;7;413.65;704.12;1.95;7.30;17.94;49.77;15.64;11.10;1.22;1032.40;83.20;9.50;117.00;0.50;
2022-03-27T07:57:00Z;7;393.16;702.19;1.95;6.12;16.19;51.18;15.64;10.29;1.22;1032.40;82.80;9.50;106.00;0.70;
2022-03-27T07:58:00Z;7;479.25;711.86;1.95;7.30;14.44;52.60;11.65;7.03;1.42;1032.40;82.50;9.50;90.00;0.50;
2022-03-27T07:59:00Z;7;513.41;713.79;1.95;7.89;14.44;51.18;13.64;8.66;1.42;1032.40;82.60;9.50;40.00;0.10;
2022-03-27T08:00:00Z;7;474.97;705.87;1.95;7.90;14.42;49.72;16.63;10.29;1.42;1032.50;83.20;9.60;55.00;0.10;
2022-03-27T08:01:00Z;7;439.45;700.07;1.95;8.49;14.42;45.48;16.63;11.10;1.42;1032.50;83.10;9.60;60.00;0.20;
2022-03-27T08:02:00Z;7;401.19;707.81;1.88;8.49;14.42;42.65;16.63;10.29;1.42;1032.50;82.80;9.60;0.00;0.00;
2022-03-27T08:03:00Z;7;363.82;699.51;1.81;9.08;14.34;41.09;15.64;10.29;1.42;1032.40;82.60;9.80;37.00;0.10;
2022-03-27T08:04:00Z;7;329.69;705.31;1.74;9.08;16.09;38.27;16.63;10.29;1.42;1032.40;82.20;9.80;338.00;0.20;
2022-03-27T08:05:00Z;7;298.25;705.24;1.74;9.08;14.33;38.25;13.64;9.47;1.22;1032.30;81.60;9.80;37.00;0.20;
2022-03-27T08:06:00Z;7;277.69;703.19;1.74;9.67;14.31;38.22;13.64;9.47;1.22;1032.50;81.80;9.90;59.00;0.20;
2022-03-27T08:07:00Z;7;279.05;710.92;1.74;10.85;14.31;36.81;16.63;11.10;1.22;1032.50;81.40;9.90;68.00;0.10;
2022-03-27T08:08:00Z;7;291.34;703.19;1.74;12.03;14.31;36.81;13.64;9.47;1.22;1032.50;81.20;9.90;70.00;0.20;
2022-03-27T08:09:00Z;7;303.57;701.19;1.67;9.08;14.30;32.56;13.64;8.66;1.22;1032.40;80.70;9.90;85.00;0.20;
2022-03-27T08:10:00Z;7;295.38;703.13;1.67;6.72;14.30;32.56;18.63;12.73;1.22;1032.40;80.50;9.90;59.00;0.20;
2022-03-27T08:11:00Z;7;274.55;706.49;1.67;6.73;12.48;31.02;15.64;10.29;1.22;1032.40;80.10;10.10;0.00;0.00;
2022-03-27T08:12:00Z;7;255.46;704.56;1.67;8.50;12.48;32.43;17.63;11.92;1.01;1032.40;80.00;10.10;0.00;0.00;
2022-03-27T08:13:00Z;7;241.87;700.77;1.67;8.49;12.49;31.04;14.64;9.47;1.01;1032.50;80.00;10.10;0.00;0.00;
2022-03-27T08:14:00Z;7;237.78;698.84;1.67;7.91;14.24;28.21;16.63;11.10;1.01;1032.50;79.90;10.10;71.00;0.20;
2022-03-27T08:15:00Z;7;231.99;711.85;1.67;8.50;14.17;28.09;13.64;7.84;1.01;1032.50;79.20;10.30;72.00;0.20;
2022-03-27T08:16:00Z;7;233.36;713.78;1.67;7.91;12.42;30.91;17.63;10.29;1.01;1032.50;79.30;10.30;80.00;0.20;
2022-03-27T08:17:00Z;7;240.17;702.20;1.67;8.50;12.42;33.73;14.64;9.47;1.01;1032.50;78.70;10.30;111.00;0.50;
2022-03-27T08:18:00Z;7;240.17;706.06;1.67;10.27;14.17;37.96;15.64;10.29;1.01;1032.50;78.50;10.30;107.00;0.50;
2022-03-27T08:19:00Z;7;240.50;706.56;1.74;9.08;14.24;40.91;10.65;7.03;1.01;1032.50;79.20;10.10;101.00;0.50;
2022-03-27T08:20:00Z;7;232.32;708.49;1.74;7.91;14.24;42.32;13.64;8.66;1.01;1032.50;79.20;10.10;85.00;0.20;
2022-03-27T08:21:00Z;7;227.90;706.06;1.74;7.91;15.92;40.78;12.64;8.66;1.01;1032.50;79.30;10.30;106.00;0.40;
2022-03-27T08:22:00Z;7;253.80;702.20;1.74;8.50;15.92;40.78;12.64;8.66;1.01;1032.50;78.90;10.30;84.00;0.20;
2022-03-27T08:23:00Z;7;256.57;709.99;1.74;8.50;14.18;40.80;12.64;8.66;1.01;1032.60;78.70;10.30;88.00;0.20;
2022-03-27T08:24:00Z;7;279.69;736.93;1.74;7.91;12.42;40.78;13.64;9.47;1.01;1032.50;78.30;10.30;111.00;0.40;
2022-03-27T08:25:00Z;7;350.56;725.35;1.74;7.32;12.42;42.19;12.64;8.66;1.22;1032.50;78.90;10.30;0.00;0.00;
2022-03-27T08:26:00Z;7;343.75;715.71;1.74;6.73;12.42;39.37;14.64;9.47;1.22;1032.50;79.00;10.30;81.00;0.20;
2022-03-27T08:27:00Z;7;316.29;717.38;1.67;6.73;10.64;37.90;15.64;10.29;1.22;1032.50;79.00;10.40;100.00;0.40;
2022-03-27T08:28:00Z;7;284.96;719.31;1.60;7.91;10.64;36.49;14.64;8.66;1.01;1032.50;77.60;10.40;113.00;0.40;
2022-03-27T08:29:00Z;7;261.80;719.31;1.53;6.14;10.64;39.30;16.63;11.92;1.01;1032.50;77.70;10.40;111.00;0.50;
2022-03-27T08:30:00Z;7;242.73;719.31;1.53;5.56;10.64;42.12;16.63;11.10;1.01;1032.50;77.70;10.40;128.00;0.30;
2022-03-27T08:31:00Z;7;227.74;725.09;1.60;5.56;10.64;42.12;14.64;9.47;1.01;1032.50;77.90;10.40;107.00;0.50;
2022-03-27T08:32:00Z;7;215.48;730.88;1.60;7.32;12.39;42.12;15.64;11.10;1.01;1032.50;77.30;10.40;99.00;0.50;
2022-03-27T08:33:00Z;7;211.59;727.35;1.60;9.09;14.18;40.80;13.64;8.66;1.01;1032.60;78.10;10.30;89.00;0.30;
2022-03-27T08:34:00Z;7;223.65;713.52;1.60;9.09;14.13;37.90;11.65;7.84;1.01;1032.50;78.10;10.40;48.00;0.10;
2022-03-27T08:35:00Z;7;245.50;723.24;1.60;10.85;12.40;35.09;14.64;9.47;1.01;1032.60;78.30;10.40;86.00;0.30;
2022-03-27T08:36:00Z;7;241.36;721.24;1.53;10.85;12.39;35.08;17.63;10.29;1.01;1032.50;77.30;10.40;94.00;0.40;
2022-03-27T08:37:00Z;7;229.10;721.24;1.53;10.27;12.39;36.49;13.64;8.66;1.01;1032.50;76.40;10.40;103.00;0.30;
2022-03-27T08:38:00Z;7;223.65;715.45;1.60;9.68;10.64;39.30;12.64;7.03;1.01;1032.50;75.60;10.40;95.00;0.40;
2022-03-27T08:39:00Z;7;220.93;713.52;1.74;8.50;8.89;40.71;14.64;10.29;1.01;1032.50;75.60;10.40;92.00;0.20;
