time;number;CO;CO2;NH3;NO;NO2;O3;PM10;PM2.5;SO2;airpressure;humidity;temperature;winddirection;windspeed;
2022-03-30T20:21:00Z;7;232.61;693.19;7.72;5.02;34.24;59.00;3.67;1.33;0.60;1003.90;87.50;4.50;100.00;0.70;
2022-03-30T20:36:00Z;7;238.32;685.96;7.52;10.87;37.79;59.12;3.67;1.33;0.40;1003.80;90.30;4.30;115.00;0.70;
2022-03-30T20:22:00Z;7;232.90;695.54;7.72;3.26;34.32;59.12;3.67;1.33;0.60;1003.80;88.00;4.30;98.00;0.90;
2022-03-30T20:23:00Z;7;235.61;684.04;7.72;3.26;34.32;59.12;3.67;1.33;0.40;1003.80;88.40;4.30;103.00;0.60;
2022-03-30T20:24:00Z;7;243.73;682.13;7.65;5.02;34.32;59.12;3.67;1.33;0.40;1003.80;89.00;4.30;81.00;0.60;
2022-03-30T20:25:00Z;7;247.79;687.87;7.59;4.43;34.32;59.12;3.67;1.33;0.40;1003.80;89.30;4.30;90.00;0.70;
2022-03-30T20:26:00Z;7;245.08;685.96;7.52;3.26;34.32;57.72;4.66;2.14;0.40;1003.80;89.30;4.30;98.00;0.60;
2022-03-30T20:27:00Z;7;241.02;693.62;7.52;2.68;36.05;59.12;3.67;1.33;0.40;1003.80;89.50;4.30;104.00;0.60;
2022-03-30T20:28:00Z;7;241.02;695.54;7.52;3.26;37.79;60.52;4.66;1.33;0.40;1003.80;89.70;4.30;104.00;0.50;
2022-03-30T20:29:00Z;7;245.08;691.71;7.52;5.02;37.79;63.32;3.67;1.33;0.40;1003.80;90.10;4.30;87.00;0.40;
2022-03-30T20:30:00Z;7;246.44;693.62;7.52;6.77;34.32;63.32;3.67;1.33;0.40;1003.80;90.20;4.30;98.00;0.60;
2022-03-30T20:31:00Z;7;246.44;687.87;7.52;6.19;36.05;60.52;4.66;1.33;0.40;1003.80;90.10;4.30;102.00;0.90;
2022-03-30T20:32:00Z;7;246.49;687.94;7.52;6.77;37.80;61.94;2.67;0.51;0.40;1003.90;90.00;4.30;101.00;0.60;
2022-03-30T20:33:00Z;7;241.02;695.54;7.52;6.19;37.79;61.92;3.67;1.33;0.40;1003.80;90.30;4.30;96.00;0.50;
2022-03-30T20:34:00Z;7;236.96;693.62;7.52;6.77;37.79;59.12;4.66;2.14;0.40;1003.80;90.60;4.30;61.00;0.30;
2022-03-30T12:37:00Z;7;178.72;681.43;2.35;8.08;0.81;29.32;5.66;2.96;0.39;1004.50;50.90;11.80;45.00;0.20;
2022-03-30T12:38:00Z;7;187.99;683.36;2.35;6.94;5.90;26.61;6.66;3.77;0.39;1004.60;50.90;11.80;63.00;0.30;
2022-03-30T12:39:00Z;7;193.12;679.39;2.22;6.37;9.24;25.19;4.66;2.14;0.39;1004.60;52.00;11.90;96.00;0.50;
2022-03-30T12:40:00Z;7;201.03;675.66;2.02;4.66;9.24;26.55;5.66;2.96;0.39;1004.60;52.40;11.90;82.00;0.40;
2022-03-30T07:33:00Z;7;209.87;655.03;3.83;8.57;17.75;46.16;5.66;2.96;0.60;1006.50;80.80;7.60;96.00;0.60;
2022-03-30T07:34:00Z;7;207.15;654.97;3.76;7.41;17.74;46.14;5.66;2.96;0.60;1006.40;80.90;7.60;84.00;0.40;
2022-03-30T07:35:00Z;7;205.85;656.93;3.69;6.83;17.75;46.16;4.66;2.14;0.60;1006.50;81.10;7.60;96.00;0.40;
2022-03-30T07:36:00Z;7;205.49;658.29;3.62;6.84;19.39;47.39;4.66;2.14;0.60;1006.40;80.80;7.80;97.00;0.60;
2022-03-30T07:37:00Z;7;204.15;654.50;3.55;6.26;17.67;51.55;4.66;2.14;0.60;1006.40;80.70;7.80;101.00;0.60;
2022-03-30T07:38:00Z;7;202.81;652.60;3.48;6.84;17.67;51.55;4.66;2.14;0.60;1006.40;80.50;7.80;91.00;0.70;
2022-03-30T07:39:00Z;7;201.47;658.29;3.48;6.26;17.67;52.94;3.67;1.33;0.60;1006.40;81.10;7.80;93.00;0.30;
2022-03-30T07:40:00Z;7;209.51;658.29;3.48;6.84;15.95;52.94;4.66;2.14;0.60;1006.40;81.10;7.80;96.00;0.30;
